"","Id","vannlnr","vannlnr2","x","y","var1.pred","var1.var"
"678",0,4147,41470,292000.861693031,7119254.3848438,242.451875177089,2148.39188488885
"679",0,3445,34454,203841.967943577,6931511.42247399,243.493871501239,6096.17253070205
"680",0,3405,34052,219904.790042468,6967730.58932208,177.874769207908,4925.85043974119
"681",0,954,954,236395.227798996,6941610.83689211,191.252278872226,5137.2654400083
"682",0,2104,2104,198409.554612917,6963661.73437881,211.561286927811,4884.1254001089
"683",0,3793,37939,220430.102236608,7005221.7384801,155.770662069042,6361.77505127694
"684",0,3375,33757,223858.81929175,6996960.36340487,154.006210189131,5096.66735139703
"685",0,3756,37568,219146.216115574,7028302.81055646,173.285211476941,6430.62575107657
"686",0,3744,37448,242731.826490313,7035467.50792573,180.213727577325,5785.56647883159
"687",0,3557,35571,336372.98803916,6921528.8988198,186.054431280266,6125.07958118709
"688",0,3527,35273,314786.361677524,6953065.37686044,171.305403745245,4936.65813597984
"689",0,3561,35619,347267.474835858,6918367.20062036,192.697351303604,5330.48581426033
"690",0,3521,35218,308889.515112826,6958112.92488395,169.746881263903,5712.30456750927
"691",0,3555,35551,354899.159275956,6921494.48604413,197.146118673673,5061.53295375824
"692",0,3530,35303,320576.387515021,6950136.81111222,173.111891269167,3320.96171804252
"693",0,174,174,326399.188769123,6943802.69657588,175.616536585316,617.605767524436
"694",0,3562,35629,353849.319711803,6916153.14725198,197.001259141279,4061.93433645697
"695",0,1360,1360,354756.919631486,6926041.18320381,196.805928049177,5746.45008346821
"696",0,114,114,338760.49701614,6957358.35420596,186.066401739681,2604.19403247348
"697",0,3800,38004,254187.132226577,6998568.86208451,152.117582759583,5736.64612974274
"698",0,3377,33772,248654.846276916,6992903.38206282,152.543435444613,6410.81776936742
"699",0,3380,33809,248712.232201538,6988124.76957868,153.806341944348,6559.86702705381
"700",0,3801,38016,250672.593598234,6997454.28906729,151.88284268508,5786.31613109376
"701",0,877,877,258495.380434444,7012653.21443412,153.325235522477,1732.80846686108
"702",0,888,888,248641.96910777,7021477.24198296,160.391023114251,2375.85514381065
"703",0,9055,9055,155341.756085139,6529463.7107132,786.19530702782,5422.4269246718
"704",0,1073,1073,58640.2790969497,6630934.8490335,666.502510767227,2638.50881122209
"705",0,0,36046,201861.733371644,7070706.42801856,198.267758871181,6018.19778228653
"706",0,0,36132,186505.861117827,7061609.74025333,185.643374370113,6645.88470460724
"707",0,0,21849,16382.4406592633,6481613.17132762,811.131858533283,5786.89750304946
"708",0,0,51330,638680.479446009,7745503.67931543,91.3775126445847,4773.36950992679
"709",0,0,22763,-34075.3045489346,6619553.92802336,686.246302570841,6295.47261618597
"710",0,0,46838,543983.39842625,7520580.78244533,156.590556873582,4266.39532850407
"711",0,0,46606,501651.76682723,7433390.33863892,185.25074526259,4374.96378001029
"712",0,0,7891,46414.9947807323,6562303.59376831,719.947314369816,5747.86370153255
"713",0,0,9453,151311.188038143,6523618.05723164,797.914504813346,6035.86147397176
"714",0,0,2385,607435.47569829,7678256.69956949,105.33533194065,5556.85260866339
"715",0,0,45398,580939.030634567,7543157.11787986,146.449069725898,5761.23199923547
"716",0,0,817,535091.971802368,7434457.15287451,205.189545807025,5548.91601336952
"717",0,0,44574,504371.457656187,7376907.78626652,243.001960990807,6075.33235174335
"718",0,0,44519,447315.192462096,7382575.44027909,230.675339941491,6512.90702723376
"719",0,0,44786,504077.313006916,7361209.26770407,241.342568561896,6119.7261817278
"720",0,0,42494,479971.210822531,7280828.58300306,235.265490180237,5276.00843100137
"721",0,0,42927,431758.382337453,7248180.26998378,261.462300109111,5797.84499588093
"722",0,0,42178,441960.02550339,7302380.25369894,245.38773478836,6963.18123999226
"723",0,0,42711,374391.723985838,7269208.00065484,262.890707935158,1640.67922267062
"724",0,0,59101,871191.33564943,7880568.97558366,67.4465880553049,3449.12965495971
"725",0,0,59291,865388.603970755,7870753.28183598,68.8956795483178,2588.70268382796
"726",0,0,59351,844451.96788654,7861595.62899516,75.7106159630389,6620.51894115731
"727",0,0,56324,775385.870069232,7791737.19333655,99.5290632769506,6051.9844873394
"728",0,0,56905,856689.155580502,7762827.05241001,87.6470764627578,6782.49953196846
"729",0,0,56466,882769.002163291,7794388.45640403,83.2983237123349,4679.1079486869
"730",0,0,53540,844360.761097267,7762010.55544964,89.8438626414066,4865.58483450192
"731",0,0,56427,798576.999099379,7787948.0323274,98.9011877625935,4711.6468294725
"732",0,0,53020,783681.832869973,7779476.0472024,100.023924432723,6281.91944175478
"733",0,0,1708,659945.720253217,7680127.90434137,109.190702855783,5160.53837580084
"734",0,0,49711,701923.635814318,7649605.12348197,116.029414639149,4756.51253201289
"735",0,0,50724,585554.724803985,7700145.30042864,109.682819958656,5903.18830286663
"736",0,0,62563,1045638.55745074,7905450.95784536,83.6990110132479,4868.97293176808
"737",0,0,62816,996600.080151406,7869395.70253181,83.181513939698,6451.73092859618
"738",0,0,60294,956486.59448324,7926916.45098992,88.6144586931507,5351.55058637251
"739",0,0,61139,921348.487144898,7860511.26683229,68.0871815769377,6449.27081709099
"740",0,0,2275,898792.680902311,7755803.11588466,86.7096719917678,1589.02416676418
"741",0,0,62402,918093.872985812,7775817.79197027,85.3014664815382,6004.26259522798
"742",0,0,47724,495450.49752997,7584845.55207546,169.88339331032,2874.64618381331
"743",0,0,12403,91742.3643876545,6656224.37074192,490.686934668632,4845.70653221137
"744",0,0,2229,812250.118937003,7698940.12788286,84.1206834539877,4952.47239180125
"745",0,0,2231,787405.547065457,7717991.04668516,91.3214538736869,3272.56549634255
"746",0,0,53743,837062.905382805,7750234.35014798,89.4879806896441,4854.85211228753
"747",0,0,40167,298217.840789511,7153917.57786796,243.471847711175,6872.247862644
"748",0,0,39511,404143.581861174,7166105.94800164,268.436787920982,3023.31930754727
"749",0,0,39776,411913.964475678,7158307.49265015,265.580940266531,3144.1375471254
"750",0,0,38610,448646.15042905,7204929.49451462,249.237521714001,4948.11264156111
"751",0,0,1137,447095.243415511,7108563.44489769,229.860979924819,3587.2770632729
"752",0,0,40079,430600.914697665,7145418.57429057,251.158984420786,6394.51936459617
"753",0,0,40484,443612.463036479,7133087.28488101,239.545768898008,4737.98221941729
"754",0,0,38057,282484.756861359,7088137.17005568,227.736767155805,6531.38491356252
"755",0,0,924,364779.367907848,7069536.77471796,257.906001164686,5424.89898184136
"756",0,0,37159,291622.730953569,7059969.1139698,218.739428479979,2951.05647302632
"757",0,0,40373,334736.664254997,7144996.7731955,253.615332484035,4973.28431093965
"758",0,0,41272,326656.989191029,7120137.05185152,251.3787559385,6674.39289398307
"759",0,0,41964,333775.313544686,7126055.3080446,253.12718931864,6888.76070994714
"760",0,0,41814,349900.677140683,7103675.92834587,255.439513915063,5814.3080416735
"761",0,0,65209,1045257.66335595,7827220.60352378,85.8336589104389,3680.05027823625
"762",0,0,65100,1045796.44168238,7744336.66155674,98.5657811761769,3442.94803302085
"763",0,0,63606,1053076.03436775,7819369.38040605,85.3365698859276,2601.21696362126
"764",0,0,63457,1020146.50312374,7819787.68163304,90.5006852355096,6877.18027138444
"765",0,0,58317,899535.825764506,7671198.21211421,118.055672044274,4713.16800107288
"766",0,0,54716,839800.692072157,7697675.63457424,83.4070305211416,5289.94301952284
"767",0,0,52936,703079.855796436,7663074.31461255,118.206725402927,4490.19767739028
"768",0,0,55049,836486.895319893,7682446.90838797,85.6154475623855,4338.06837203715
"769",0,0,35983,645993.533566569,7626154.40743897,104.848772927351,6940.7332901132
"770",0,0,501,464998.254419108,7296088.96118017,243.02692042074,1949.14754014297
"771",0,0,35983,189529.177256806,7082338.52746181,191.749159303585,3132.72742717189
"772",0,0,930,369978.972579872,7123953.52021115,258.142176280167,1288.11475890937
"773",0,0,1039,602350.796114321,7581956.92074953,118.118687674711,6140.04940502478
"774",0,0,1683,16402.224060316,6594573.83075596,696.413606164644,3172.55104251913
"775",0,0,45689,524281.15701093,7521717.53786832,157.549825733808,6898.01777696486
"776",0,0,804,491831.762599265,7442436.01710877,166.878140245946,2262.52562114253
"777",0,0,43929,501464.462040108,7424169.30490855,196.655729949066,6009.30764376362
"778",0,0,48637,620950.31311572,7595408.17779412,110.581092744236,5484.23733890062
"779",0,0,8672,50409.471199882,6547021.33998263,740.853025493543,5741.28171296956
"780",0,0,1193,566633.022609591,7600739.89725608,110.890755275131,3840.99027092203
"781",0,0,1003,565939.970712805,7514749.93081525,166.134220443202,1297.91967805656
"782",0,0,46146,545789.225440578,7479582.17001295,187.524588299962,6133.69339262288
"783",0,0,45963,558269.705227264,7493588.53984514,185.144598592007,5862.3221664649
"784",0,0,46678,535060.493279885,7437652.48774483,203.799726009621,6402.45561954306
"785",0,0,2491,432154.991965669,7373818.79879924,229.514256840482,5646.55155198226
"786",0,0,44358,443591.635012796,7392945.97722209,220.05927979721,5232.62194647039
"787",0,0,44849,473751.087964646,7356241.34232968,256.506713687276,5472.31335433435
"788",0,0,42053,387705.27950094,7313692.37249516,243.342571323103,6208.47381042044
"789",0,0,42969,369901.827077255,7245087.9040879,267.280029844658,6174.65640859752
"790",0,0,58831,864422.356912127,7892172.69768702,69.4154867570525,6275.98435275484
"791",0,0,58969,871300.161735895,7886588.76982365,67.7429373353142,5297.20176446681
"792",0,0,56023,828795.275318314,7818407.48107885,87.6720035328602,5509.57478534117
"793",0,0,56269,779959.433828314,7794493.04532248,99.6378050423651,5005.98048571068
"794",0,0,59680,859733.216696084,7831418.82589006,78.0398480279613,6638.8784335948
"795",0,0,53249,822818.023269631,7772283.78940134,94.4720039305199,4465.11959307486
"796",0,0,52999,790156.760914715,7781344.11999526,99.5412523375462,5959.36323982875
"797",0,0,52329,741153.073741131,7720063.02130147,111.503277805827,6445.43372621602
"798",0,0,52307,739735.38174339,7722448.24891595,112.2723301573,6276.45284611443
"799",0,0,49688,694953.96383235,7651255.86710371,115.258210512809,6012.44667886221
"800",0,0,2304,976152.495394264,7859350.30027136,80.2446845369146,6430.61171118201
"801",0,0,62355,950587.39090543,7808698.0455284,84.4431627728618,5450.16018719288
"802",0,0,60265,971561.398133017,7931523.48760729,92.6749773624819,6472.189853215
