ebint,mm,tws02,tws08
165559,26,0.0,10.9724677419
165559,27,0.492678571428,13.1205
165559,28,0.790738916256,14.7531935484
165810,22,0.0,0.0
165810,26,0.0,0.0
165810,27,0.0,0.0
165810,28,0.0,0.0
168016,22,0.0,6.91053225807
168016,26,0.0,7.34474193548
168016,27,0.0,8.50977419354
168016,28,0.0,10.4038870968
168632,22,0.0,8.14129032258
168632,26,0.0,8.51970967742
168632,27,0.0,10.9815967742
168632,28,0.0,12.7231935484
172006,22,0.0,14.5043709677
172006,26,0.0,15.3129193548
172006,27,0.0,16.7861129033
172006,28,0.0,17.8258064516
177669,22,0.0,11.0245806451
177669,26,0.0,11.6613870968
177669,27,0.0,13.4320967742
177669,28,0.0,14.4946290322
179995,22,0.0,8.20256451613
179995,26,0.0,8.24864516129
179995,27,0.0,10.0748225807
179995,28,0.0,11.7472419355
183992,22,0.0,10.1759193549
183992,26,0.0,10.4674677419
183992,27,0.0,12.4000322581
183992,28,0.0,14.1805645161
184878,22,0.0,0.0
184878,26,0.0,0.0
184878,27,0.0,0.0
184878,28,0.0,7.19829032258
187381,22,0.0,0.0
187381,26,0.0,0.0
187381,27,0.0,1.93054838709
187381,28,0.0,7.79962903226
187459,22,0.0,8.11646774194
187459,26,0.0,8.529
187459,27,0.0,10.4663387096
187459,28,0.0,12.0388387097
190867,22,0.0,14.0605806452
190867,26,0.0,15.5456290323
190867,27,0.0,16.297
190867,28,0.0,17.2184032259
196496,22,0.0,11.5206290322
196496,26,0.0,11.2466290322
196496,27,0.0,12.9718870968
196496,28,0.0,15.0148709677
196868,22,0.0,10.3034032258
196868,26,0.0,10.5889193548
196868,27,0.0,12.3900967742
196868,28,0.0,14.1231774194
197584,22,0.0,10.2987096774
197584,26,0.0,10.832016129
197584,27,0.0,12.8488225806
197584,28,0.0,14.555016129
198311,22,0.0,15.4029032258
198311,26,0.0,16.146483871
198311,27,0.104178571428,17.553
198311,28,1.262375,19.207
199011,22,0.0,13.1518709677
199011,26,0.0,14.4416612904
199011,27,0.0,16.0587096774
199011,28,0.0,17.5141290323
199324,22,0.0,14.8703548387
