,22,26,27,28,sequence,sequence2
708819,5,5,5,5,5555,55
709077,4,5,5,4,4554,44
710468,5,5,5,5,5555,55
714162,5,5,5,5,5555,55
714922,5,5,5,5,5555,55
715184,4,5,5,5,4555,45
716466,5,5,5,4,5554,54
717060,4,4,4,4,4444,44
718720,5,5,5,5,5555,55
720128,5,5,5,5,5555,55
723198,4,4,4,4,4444,44
728017,4,4,4,5,4445,45
730474,5,5,5,5,5555,55
733425,5,5,5,5,5555,55
735147,4,4,4,4,4444,44
735990,4,4,4,4,4444,44
736206,4,4,4,4,4444,44
736393,4,4,4,4,4444,44
738887,1,3,4,4,1344,14
740431,4,4,4,5,4445,45
741641,4,4,5,5,4455,45
742675,3,4,4,4,3444,34
743110,5,5,5,5,5555,55
746357,3,5,4,4,3544,34
747040,5,5,4,5,5545,55
750735,5,5,5,5,5555,55
751277,5,5,5,5,5555,55
753542,4,5,4,4,4544,44
753662,4,5,4,5,4545,45
759020,5,5,5,5,5555,55
760063,5,5,5,5,5555,55
770101,4,4,5,5,4455,45
773396,4,5,5,5,4555,45
776211,1,2,3,5,1235,15
780277,5,5,5,5,5555,55
783951,4,5,4,5,4545,45
785457,5,5,5,5,5555,55
785594,4,4,4,4,4444,44
788653,1,5,4,4,1544,14
790517,5,5,4,5,5545,55
790846,4,4,5,5,4455,45
791163,4,4,5,5,4455,45
792429,4,5,5,5,4555,45
794637,5,5,5,4,5554,54
794974,5,5,5,5,5555,55
798005,4,4,4,4,4444,44
805054,5,4,4,5,5445,55
809981,4,4,4,4,4444,44
811289,5,5,5,5,5555,55
811672,5,4,5,4,5454,54
813224,5,4,5,5,5455,55
815465,5,5,5,5,5555,55
816672,5,5,5,5,5555,55
817715,4,4,5,5,4455,45
820823,5,5,5,5,5555,55
827100,5,5,5,4,5554,54
827117,5,4,4,4,5444,54
827496,5,4,5,5,5455,55
827882,3,3,4,4,3344,34
828777,4,4,4,4,4444,44
828953,1,1,5,5,1155,15
829524,4,5,4,4,4544,44
829788,1,3,4,4,1344,14
829805,4,4,4,4,4444,44
832993,4,4,5,5,4455,45
833958,4,4,5,5,4455,45
838004,5,5,5,5,5555,55
840329,5,4,5,5,5455,55
845516,5,5,5,5,5555,55
846833,4,4,4,4,4444,44
847746,5,5,5,4,5554,54
850587,4,4,4,4,4444,44
852358,5,4,4,4,5444,54
853324,4,5,5,5,4555,45
858474,5,5,5,5,5555,55
859861,5,5,5,5,5555,55
859912,5,5,5,4,5554,54
860209,4,4,5,5,4455,45
867944,4,4,4,7,4447,47
868047,5,5,5,5,5555,55
868781,4,4,4,4,4444,44
869430,5,5,5,5,5555,55
870383,4,5,5,4,4554,44
870442,4,5,5,5,4555,45
873352,5,5,5,5,5555,55
873727,5,5,5,5,5555,55
874497,5,4,5,5,5455,55
874651,5,5,5,5,5555,55
875859,4,4,7,7,4477,47
877018,1,3,4,4,1344,14
877225,5,5,5,5,5555,55
878481,4,4,4,4,4444,44
880799,4,5,4,4,4544,44
881269,5,4,4,4,5444,54
882686,4,4,5,5,4455,45
883890,1,3,3,4,1334,14
884549,5,5,5,5,5555,55
887309,4,4,4,4,4444,44
887690,3,4,4,4,3444,34
889294,5,4,4,4,5444,54
889869,4,4,4,4,4444,44
891341,4,4,4,4,4444,44
892840,5,5,5,5,5555,55
895918,5,4,4,4,5444,54
897903,3,3,4,4,3344,34
898375,5,4,4,5,5445,55
898883,5,5,5,5,5555,55
899034,4,4,4,4,4444,44
901840,4,5,4,4,4544,44
906272,5,4,5,4,5454,54
911373,4,5,5,5,4555,45
911550,5,5,5,5,5555,55
914035,5,5,5,5,5555,55
917675,5,5,4,4,5544,54
920527,5,5,5,5,5555,55
921072,3,3,4,4,3344,34
921355,4,4,4,4,4444,44
922253,3,5,4,4,3544,34
926812,5,5,5,5,5555,55
928658,5,5,4,5,5545,55
930770,5,5,4,4,5544,54
932951,4,4,4,4,4444,44
934420,4,5,4,4,4544,44
936148,4,4,5,5,4455,45
936938,4,4,4,5,4445,45
938821,4,4,4,4,4444,44
939310,5,5,4,5,5545,55
939720,1,4,5,5,1455,15
942140,4,4,4,4,4444,44
942443,4,4,7,7,4477,47
943283,4,4,5,5,4455,45
944232,3,3,4,4,3344,34
944237,4,5,5,5,4555,45
945666,4,4,4,8,4448,48
945703,4,4,5,5,4455,45
946324,5,5,5,5,5555,55
947141,4,4,4,5,4445,45
948537,5,5,4,5,5545,55
949620,5,5,5,5,5555,55
952343,4,5,4,4,4544,44
954095,5,4,4,5,5445,55
955974,4,4,5,5,4455,45
956386,5,4,5,5,5455,55
956442,5,4,4,5,5445,55
956592,1,5,5,4,1554,14
958022,5,4,5,5,5455,55
959478,5,5,5,5,5555,55
965625,5,4,5,5,5455,55
967026,4,4,4,5,4445,45
969413,4,4,4,8,4448,48
971869,4,4,4,4,4444,44
972935,4,4,4,4,4444,44
975514,5,4,5,5,5455,55
978885,5,5,5,5,5555,55
983782,5,5,5,5,5555,55
986047,4,4,5,4,4454,44
986528,4,4,4,4,4444,44
989999,4,4,4,4,4444,44
996370,5,4,5,5,5455,55
1001008,5,5,5,5,5555,55
1003259,4,4,4,7,4447,47
1003902,4,4,4,4,4444,44
1005955,4,4,5,5,4455,45
1007260,4,4,4,4,4444,44
1007962,5,5,5,5,5555,55
1011458,1,3,4,5,1345,15
1011900,4,4,4,4,4444,44
1016982,5,5,5,5,5555,55
1019674,4,5,4,5,4545,45
1020229,4,4,4,4,4444,44
1022801,4,5,5,5,4555,45
1029047,4,5,4,4,4544,44
1031641,5,4,4,5,5445,55
1033908,5,5,5,5,5555,55
1035739,4,4,5,4,4454,44
1035896,5,5,5,5,5555,55
1039387,4,5,5,5,4555,45
1044255,4,5,5,5,4555,45
1044915,5,4,5,5,5455,55
1045327,4,4,4,4,4444,44
1047695,5,5,5,5,5555,55
1048540,4,4,4,4,4444,44
1048573,3,3,4,4,3344,34
1056541,4,5,4,5,4545,45
1056829,4,4,4,4,4444,44
1056866,4,4,4,4,4444,44
1060038,4,4,4,4,4444,44
1061851,5,5,5,5,5555,55
1063304,4,4,4,5,4445,45
1069004,1,1,1,3,1113,13
1069855,5,5,5,4,5554,54
1078413,4,4,4,4,4444,44
1079538,5,5,5,5,5555,55
1080265,5,4,5,5,5455,55
1084984,5,5,5,5,5555,55
1086923,4,4,4,5,4445,45
1087866,5,5,4,5,5545,55
1091407,4,5,5,5,4555,45
1092773,4,4,4,4,4444,44
1095017,1,5,5,5,1555,15
1095026,4,4,4,4,4444,44
1098810,5,5,5,5,5555,55
1099912,5,4,5,5,5455,55
