sim_id,y,tsw00,tsw01,tsw02,tsw03,tsw04,tsw05,tsw06,tsw07,tsw08,tsw09,tsw10,tsw11,tsw12,pcd00,pcd01,pcd02,pcd03,pcd04,pcd05,pcd06,pcd07,pcd08,pcd09,pcd10,pcd11,pcd12,pcn00,pcn01,pcn02,pcn03,pcn04,pcn05,pcn06,pcn07,pcn08,pcn09,pcn10,pcn11,pcn12,icend,icemh,icedu,iceon,iceof,iceth,ebint
452742681,4.5,5.427770242,0,0,0,0,2.18856129,12.84286667,15.74257419,14.27779355,11.92779667,7.032383871,1.106266667,0.015,12.02998273,14,14,14,14,13.1810782,5.667064915,6.029368078,8.630419231,12.8518623,14,14,14,8.383333333,0,0,0,0,2.5,26.6,31,31,9.5,0,0,0,188.2,0.6646,189.9,315.4,140.1,0.1,12742681
453946620,4.5,6.818600223,0.03966129,0.035932143,0.058803226,1.842133333,8.379970968,14.24235,16.11249032,15.63608065,13.26506333,8.095112903,3.55824,0.557364516,14.61768493,17,17,17,17,11.48865368,7.272403433,8.946477356,12.4058194,16.29886531,17,17,17,8.433333333,0,0,0,0,14.7,27.9,29.9,25,3.7,0,0,0,123.9,0.3302,129.1,339.2,103.1,0.3,13946620
453978509,4.5,5.069022294,0,0,0,0,1.468158065,10.38173333,14.11595484,13.56680968,11.60912333,7.521412903,2.112636667,0.05243871,25.15288231,30,30,30,30,29.7483871,13.52523913,8.779389812,13.54064988,26.2409218,30,30,30,7.641666667,0,0,0,0,0.3,21.1,30.9,29.3,10.1,0,0,0,179,0.6334,179,326.9,140.7,0,13978509
454188433,4.5,5.532958808,0,0,0,0,2.744354839,11.57546333,14.57067742,14.10204194,12.36185333,7.9274,2.90636,0.207354839,17.45833301,20,20,20,20,19.36057563,9.293059951,8.691508092,13.00955237,19.14530005,20,20,20,7.05,0,0,0,0,1.5,23.8,30.3,25.9,3.1,0,0,0,161.7,0.5531,161.7,336.2,132.7,0,14188433
454517017,4.5,6.196937841,0,0,0,0.224733333,5.168135484,13.28210667,15.57562258,14.60537419,12.95192,8.532545161,3.726116667,0.2967,18.24085808,21,21,21,21,18.73846216,8.450885843,9.201973615,15.19788435,20.30109095,21,21,21,7.383333333,0,0,0,0,5.2,26,30.8,23.9,2.7,0,0,0,149.9,0.5097,149.9,338,122.7,0,14517017
454847492,4.5,6.91836611,0.377290323,0.263964286,0.886764516,3.35648,8.171870968,13.59699667,14.94889677,14.15658387,12.46254667,8.531925806,4.692776667,1.574296774,19.56632035,22,22,22,21.91666667,17.27252698,10.79825912,12.17280801,18.71225014,21.92333333,22,22,22,5.575,0,0,0,0.2,9.7,24.7,22.8,9.2,0.3,0,0,0,74.4,0.2323,89.7,348.6666667,74.8,1.1,14847492
454908440,4.5,6.203275099,0,0,0,0.085393333,6.364306452,14.71363333,16.37436129,15.09759032,12.28962667,7.270441935,2.080483333,0.163464516,14.23234937,18,18,18,18,12.44304318,5.067623518,6.087224566,8.053455549,13.13684558,18,18,18,10.58333333,0,0,0,0,12.1,29.3,31,31,23.6,0,0,0,160.5,0.4937,163.9,326.2,124.9,0.3,14908440
455314839,4.5,6.987255952,0,0.062471429,0.187119355,1.584346667,8.659316129,16.21745333,17.35649032,15.72184194,12.84240667,7.745832258,3.060793333,0.409,18.40800712,25,25,25,24.71015168,13.43116625,4.850631492,6.049254959,8.295805476,13.8495285,24.70954705,25,25,11.49166667,0,0,0,0.4,17.2,30,31,31,26.6,1.7,0,0,133,0.4389,136.6,336.9,108.3,0.3,15314839
455417701,4.5,3.62561371,0,0,0,0,0.127016129,7.45323,12.61140968,11.25132903,8.77467,3.289709677,0,0,25.21551474,30,30,30,30,30,17.82726423,6.961931068,12.23864224,25.55833935,30,30,30,7.075,0,0,0,0,0,14.4,30.7,29.7,10.1,0,0,0,223.9,0.7955,223.9,297.7,156.4,0,15417701
455443601,4.5,4.708084964,0,0,0,0,1.065325806,9.609016667,13.52149355,12.74294839,11.15278333,6.940722581,1.436106667,0.028622581,20.12989081,23,23,23,23,22.83382637,12.22595198,8.489301589,15.16665355,21.84295628,23,23,23,6.608333333,0,0,0,0,0.3,19.3,30.7,25.3,3.7,0,0,0,186.1,0.6666,186.1,322.8,143.7,0,15443601
455760151,4.5,4.340694373,0,0,0,0.009266667,1.712893548,8.917973333,12.95224516,12.06179032,9.879333333,5.52096129,0.928033333,0.105835484,32.36099064,37,37,37,37,34.60855849,23.28304939,12.37152176,22.81227943,36.2564786,37,37,37,5.358333333,0,0,0,0,2.4,13.5,27.9,19.1,1.4,0,0,0,187.9,0.5898,192.5,315.8,143.1,0.4,15760151
456548800,4.5,5.820722115,0,0,0,0,4.57183871,13.80411333,15.68420968,14.41882903,12.16998667,7.221216129,1.888926667,0.089545161,15.90637711,19,19,19,19,15.86009791,6.399796442,7.53520926,11.03966727,17.04175439,19,19,19,9.016666667,0,0,0,0,7.1,28.2,31,29.7,12.2,0,0,0,168.1,0.533,168.7,325.8,129.3,0.1,16548800
