"ebint","ebhex","depth","area","longitude","latitude"
13566712,"0xcf02f8",2,39566,10.7279687,63.4153242
5221137,"0x4fab11",2.4,55717,9.130409,63.5690707
6306812,"0x603bfc",2.2,49892,9.1584823,62.2186459
4211995,"0x40451b",1.6,25232,11.1638569,64.025786
8945863,"0x8880c7",5.2,270711,13.5514416,64.1111637
12792148,"0xc33154",2.1,45746,12.0079914,65.0743256
12696902,"0xc1bd46",4.8,232061,10.7044656,62.3914933
3041171,"0x2e6793",6.7,443415,7.431612,61.5302227
7112836,"0x6c8884",1.8,32884,7.91594,61.5659675
13820513,"0xd2e261",1.6,24192,9.0324853,61.9541709
2409933,"0x24c5cd",1.2,15191,10.7834864,61.7109153
13645587,"0xd03713",3,89655,6.1640942,62.4218104
5997092,"0x5b8224",6.1,373516,8.9206465,62.866836
13845829,"0xd34545",2.7,72900,10.9970683,61.7854424
16371624,"0xf9cfa8",6.1,369227,5.6252448,61.5660592
14827886,"0xe2416e",4.2,175976,7.4391448,61.9966065
16269628,"0xf8413c",4.3,188576,8.0626136,61.7170488
12394612,"0xbd2074",1.6,25515,10.7272846,62.732705
6029303,"0x5bfff7",3,88900,10.8516282,62.7448502
12063164,"0xb811bc",5.8,341868,7.5613749,61.6704409
15477505,"0xec2b01",3.1,97589,8.7309864,61.8698163
14153083,"0xd7f57b",1.9,34810,8.3234195,61.7347243
12181084,"0xb9de5c",8.4,705476,5.1666549,61.6724895
12584271,"0xc0054f",1.8,31835,11.5803822,63.728667
11035141,"0xa86205",3.3,111674,9.0811279,61.8072402
5131924,"0x4e4e94",2.1,42045,9.5829744,61.8773983
15965829,"0xf39e85",3.5,122793,7.2334888,62.186263
3936676,"0x3c11a4",8,647911,5.470996,61.8287539
13124968,"0xc84568",2.9,82285,7.3184529,62.9006991
12069998,"0xb82c6e",1.9,36155,12.682727,65.9164156
10437077,"0x9f41d5",4.3,188685,7.8596876,61.8230242
4999539,"0x4c4973",1.5,21676,12.2511998,64.15269
16588243,"0xfd1dd3",3.1,95949,9.7080099,61.9286524
5312005,"0x510e05",2.1,44502,5.0234127,61.6738179
2601957,"0x27b3e5",4.7,221447,11.659045,62.0236946
104845,"0x1998d",3.9,154660,7.6338511,61.9735149
10235094,"0x9c2cd6",3.5,120937,9.5306333,62.039883
12069670,"0xb82b26",1.4,18756,11.2571705,62.2095638
9283268,"0x8da6c4",2.6,67702,7.9494791,62.1925746
10644332,"0xa26b6c",1.7,30624,12.1307641,62.3618593
9474924,"0x90936c",2.3,54226,11.1492911,62.363606
11751437,"0xb3500d",2.1,44478,5.9007913,62.3026219
12446767,"0xbdec2f",4.6,210386,7.5673761,62.2569785
15646327,"0xeebe77",3.1,96258,9.1089956,62.3332543
14919344,"0xe3a6b0",5,249892,9.1543494,62.3004277
3690101,"0x384e75",2.3,54991,8.9844745,62.3204791
6484478,"0x62f1fe",3.7,139755,9.1780578,62.3343842
