"ebint","ebhex","depth","area","longitude","latitude","clust30","clust30a"
2865106,"0x2bb7d2",8.4,713766,8.1169094,61.1422338,29,24
15563564,"0xed7b2c",20.9,4368834,8.4560673,62.2083824,27,22
3725581,"0x38d90d",11.6,1341260,5.3281823,61.7878344,29,21
6656537,"0x659219",11.7,1367290,8.9004158,63.5739091,27,22
11088469,"0xa93255",19.1,3663753,9.901788,63.1352416,27,22
6759866,"0x6725ba",29.4,8654379,10.7606034,63.7823634,27,22
12165784,"0xb9a298",29.6,8780186,12.1082523,64.8128167,7,6
7475364,"0x7210a4",25.2,6338759,12.997522,65.1597143,7,20
4392911,"0x4307cf",16.3,2669490,11.46868,64.8458372,7,6
4718003,"0x47fdb3",15.2,2314425,17.4759998,68.1227907,4,23
11287211,"0xac3aab",14.4,2085703,29.3616434,69.9512377,26,15
1246067,"0x130373",37,13679201,20.8942176,68.9686925,15,10
16369335,"0xf9c6b7",47.6,22668407,14.4694471,66.0671066,17,20
14699788,"0xe04d0c",18.3,3345948,12.2610351,62.2955284,21,30
8774808,"0x85e498",59.5,35403240,12.3781869,62.3177627,21,30
2895992,"0x2c3078",18.5,3405261,12.1153961,63.3693224,21,30
11945435,"0xb645db",20.3,4132204,20.1581849,68.473963,12,10
