"ebint","ebhex","depth","area","longitude","latitude"
5382498,"0x522162",11.5,1333158,20.6459934,65.575869
3912349,"0x3bb29d",26.2,6841280,20.7163507,65.6049577
7158020,"0x6d3904",15,2253185,21.4558727,65.6770371
16230984,"0xf7aa48",18.6,3477091,21.5776091,65.6826849
4405470,"0x4338de",17.6,3108708,19.5992742,65.7860415
14378705,"0xdb66d1",19,3613770,20.8228772,65.6698639
8929124,"0x883f64",26.9,7215917,19.2745258,65.2436974
13673239,"0xd0a317",27.6,7639047,15.9371812,66.59191
7958501,"0x796fe5",27.7,7676106,21.4105144,65.7420569
3416937,"0x342369",22.5,5040479,20.58044,65.7688894
11434006,"0xae7816",25.3,6412407,19.4566259,65.8102887
8297104,"0x7e9a90",17.3,3000810,17.5761006,65.8988365
6121781,"0x5d6935",14.1,1981753,18.9132573,65.4615713
15807511,"0xf13417",26.7,7143064,18.1128562,65.3760819
2137810,"0x209ed2",18.7,3503587,19.3179557,65.2747503
13264683,"0xca672b",8.8,774167,19.3907835,65.3810099
12952234,"0xc5a2aa",21.9,4793268,19.8247019,65.2424032
14337024,"0xdac400",20.9,4355467,19.4362342,65.1503839
8770109,"0x85d23d",28.5,8111516,18.5318384,65.1653395
9368209,"0x8ef291",33.9,11487429,18.8199975,65.2108547
9991460,"0x987524",16.7,2789100,18.7273901,65.2061588
9683377,"0x93c1b1",28.3,8023290,19.7982395,64.7644889
3946996,"0x3c39f4",22.7,5146534,19.9179529,64.7618188
1316819,"0x1417d3",23.2,5372807,19.8825018,64.9665691
6590649,"0x6490b9",21.2,4500448,19.2611225,64.9859262
8871923,"0x875ff3",20.6,4237043,20.3200412,64.9115393
8011968,"0x7a40c0",40.5,16364861,19.4121627,64.9041334
11404450,"0xae04a2",17.2,2951782,19.1500373,65.0207466
5070352,"0x4d5e10",15.9,2529621,21.0072661,64.4878591
10104394,"0x9a2e4a",30.6,9347865,17.8365656,65.7874211
13023401,"0xc6b8a9",27.2,7423178,18.9365835,66.0776877
12808955,"0xc372fb",79.7,63527325,17.1342707,66.5041004
9431460,"0x8fe9a4",13.1,1723469,16.6831637,66.8809594
11731520,"0xb30240",62.7,39259361,18.4434236,65.4728881
4078406,"0x3e3b46",12.3,1524589,21.3642752,64.5158312
15873854,"0xf2373e",16.5,2734212,20.9595614,64.5416124
12460886,"0xbe2356",36,12953033,20.6920623,64.514936
11871047,"0xb52347",17.3,2980187,20.9562048,64.5687532
1755792,"0x1aca90",135.7,184151127,18.246561,65.717589
13160207,"0xc8cf0f",46.1,21292654,20.2004993,66.7331573
6072726,"0x5ca996",27.9,7783594,22.2103416,66.6644982
9814060,"0x95c02c",77.4,59958349,18.6749458,66.7070756
10957587,"0xa73313",12.8,1628167,17.7961841,66.0618448
8846462,"0x86fc7e",29.1,8450489,17.9336504,66.0093142
13188670,"0xc93e3e",25.6,6531848,19.7251763,67.8140931
16500232,"0xfbc608",54.4,29614249,19.2245539,67.8521147
4862515,"0x4a3233",11.3,1269094,17.9905494,67.973456
6842941,"0x686a3d",18.9,3568769,17.3659382,68.1103009
5999600,"0x5b8bf0",15.9,2543325,17.9732448,68.0322582
14074347,"0xd6c1eb",20.4,4150230,20.2910749,68.0215225
3958234,"0x3c65da",34.6,11967461,20.7462171,68.1002815
8421185,"0x807f41",29.6,8748917,22.7584482,66.1097695
6552895,"0x63fd3f",23.3,5406097,20.8389687,66.2744416
2556863,"0x2703bf",15.2,2315186,20.5834173,64.4035292
15196632,"0xe7e1d8",32.7,10712495,20.5089066,64.4593246
10290648,"0x9d05d8",17.6,3085019,21.4127044,64.4381991
7297488,"0x6f59d0",15.4,2386738,20.7102233,64.7326753
12556596,"0xbf9934",31.4,9849516,19.7734858,64.8235088
15039114,"0xe57a8a",24.9,6219819,19.9177463,64.7308623
829805,"0xca96d",72.4,52442651,18.6667068,67.3915595
1548169,"0x179f89",45.4,20578398,18.2068869,66.4086006
7032203,"0x6b4d8b",37.2,13821863,23.3760171,66.3555079
14905390,"0xe3702e",29.9,8943810,19.3477359,65.0798305
3357258,"0x333a4a",44.8,20061583,14.0092015,64.7044231
8163950,"0x7c926e",16.8,2818686,16.6174187,67.7524187
6464979,"0x62a5d3",13.2,1741233,17.016389,65.5189747
198840,"0x308b8",150.6,226893640,17.5268613,66.2366591
14679990,"0xdfffb6",15.6,2444007,15.5015562,65.3750624
1879341,"0x1cad2d",18.6,3467072,23.963886,66.6400581
12650623,"0xc1087f",59.1,34901937,17.9271288,66.8888079
8798143,"0x863fbf",59,34823680,18.0546467,66.0708442
9744596,"0x94b0d4",23.2,5371573,23.6696719,67.8328427
8959194,"0x88b4da",38.1,14548087,17.0799405,68.1286071
11839418,"0xb4a7ba",22.3,4980754,17.0693409,68.0776821
16584664,"0xfd0fd8",19,3613253,23.5610995,68.0314095
10986021,"0xa7a225",21.1,4433408,23.911148,66.3731953
13742040,"0xd1afd8",12.2,1499300,17.6929139,66.6258578
15040320,"0xe57f40",24,5755825,16.3209404,67.333381
10685818,"0xa30d7a",15.3,2341509,24.1682712,66.3153432
7278065,"0x6f0df1",14.1,2000791,19.017262,68.4888771
16639187,"0xfde4d3",18.4,3384948,21.2532905,68.8253273
827882,"0xca1ea",18.5,3418604,21.2562858,69.0248995
1624350,"0x18c91e",16.2,2608695,20.8920478,68.8931161
14630072,"0xdf3cb8",11.3,1269348,21.3020893,68.858804
12428147,"0xbda373",19.7,3868238,20.1191298,67.8335498
8062215,"0x7b0507",16.3,2650277,19.8560614,68.2901741
2504811,"0x26386b",43.7,19086766,16.9626958,64.3527719
11640649,"0xb19f49",10.7,1144509,14.4241668,64.9100447
5385650,"0x522db2",9.1,822714,14.9407018,64.9762895
3021080,"0x2e1918",42.4,17959282,17.9680144,66.7917673
11238387,"0xab7bf3",101.3,102597400,16.2060061,64.7567259
16461547,"0xfb2eeb",9.6,923437,16.0392022,65.1581065
15071460,"0xe5f8e4",46.5,21648026,17.5947355,66.4078203
7891786,"0x786b4a",12.8,1630535,17.3887944,66.6095812
14122367,"0xd77d7f",20.4,4166089,16.7083924,66.6457858
15682048,"0xef4a00",7.8,601490,17.3825775,66.464412
7932714,"0x790b2a",31.7,10051538,18.2998678,67.1306897
13664111,"0xd07f6f",13.8,1906086,20.5353747,68.7163235
10352424,"0x9df728",19.8,3905961,18.9201632,67.5953423
6841516,"0x6864ac",13.2,1731492,20.4174856,63.7582123
10763614,"0xa43d5e",16.1,2592054,19.7236513,64.3539136
16740091,"0xff6efb",15.9,2520982,15.501387,65.7365258
10540235,"0xa0d4cb",11.8,1381278,14.627029,60.7021599
12386611,"0xbd0133",41.7,17370596,17.0875231,63.012279
6702407,"0x664547",12.1,1461237,12.1824606,59.8503716
3701691,"0x387bbb",21.5,4616814,13.7270831,59.8532446
2783207,"0x2a77e7",13.5,1824136,14.085314,60.0141361
6476501,"0x62d2d5",16.6,2743794,14.1312389,60.0292091
2283030,"0x22d616",33.3,11088801,13.6297798,59.9851903
6983776,"0x6a9060",13.5,1834638,12.5625853,60.1251302
8170822,"0x7cad46",19.9,3978081,14.747783,60.6611382
9599595,"0x927a6b",27.1,7323082,12.9430087,57.5784756
1858966,"0x1c5d96",74.1,54838241,12.4093978,57.9003691
5034140,"0x4cd09c",39.6,15654734,12.8496448,59.2035613
2726038,"0x299896",42.5,18045823,14.514974,59.2938993
8324952,"0x7f0758",14.8,2191552,12.5749081,59.1808986
11359253,"0xad5415",37.6,14131766,12.4657022,59.3229295
14477433,"0xdce879",73,53229231,12.0617221,59.1805742
10552871,"0xa10627",13.4,1801555,12.75391,62.3661978
1726697,"0x1a58e9",56.1,31441115,12.7897387,62.4409896
16506222,"0xfbdd6e",11.7,1362922,15.4890752,62.1532509
16745976,"0xff85f8",21.3,4528526,13.0376699,56.3216295
9924674,"0x977042",18.9,3568342,13.1015461,56.3176875
4850817,"0x4a0481",16.7,2780068,13.3135771,55.4851533
275769,"0x43539",13.2,1733782,13.309713,55.527987
3342265,"0x32ffb9",34.7,12017555,13.5881874,55.6839727
9216293,"0x8ca125",38.1,14482910,13.4721333,55.8926178
4264454,"0x411206",49.9,24855286,13.5499722,55.86857
11965689,"0xb694f9",16.5,2733237,13.665265,55.5764686
7352037,"0x702ee5",15.7,2476900,13.7263496,55.5655654
15294491,"0xe9601b",13,1698410,13.5402838,56.4947357
5099018,"0x4dce0a",13.3,1758942,13.7611678,56.5959451
8774678,"0x85e416",13,1694061,13.5927388,56.4144763
4907733,"0x4ae2d5",12.6,1591817,13.2606451,56.4260146
2853022,"0x2b889e",14.5,2107550,13.483411,56.8106516
11393200,"0xadd8b0",33.6,11316027,14.1575695,57.0379982
4611753,"0x465ea9",10.4,1075620,13.5985384,57.0598042
