"","mrros_historical_1961_1990","mrros_rcp45_2071_2100","mrros_rcp85_2071_2100","tas_historical_1961_1990","tas_rcp45_2071_2100","tas_rcp85_2071_2100","pr_historical_1961_1990","pr_rcp45_2071_2100","pr_rcp85_2071_2100"
"87",4.13720379677451e-05,3.66015533505387e-05,3.64638375559608e-05,266.281843742657,269.036173571387,270.647850237436,4.5063903498554e-05,4.28961073998712e-05,4.45225636926614e-05
"88",4.0403043603326e-05,3.4902726024238e-05,3.42447576198145e-05,266.689344059447,269.431509086898,270.995955933325,4.57344775670272e-05,4.40076400467387e-05,4.72245216444687e-05
"89",5.44195971743396e-05,4.65775452960998e-05,4.6390961726549e-05,267.732945957922,270.383331169165,271.935757342132,6.32707119886931e-05,6.21918106799834e-05,9.43538287084007e-05
"90",5.79368775097221e-05,4.98523736602578e-05,5.11017675467645e-05,266.535993143798,269.199443317518,270.759431026075,6.24220057947553e-05,5.9259708843685e-05,6.39221656647095e-05
"91",3.8714573298332e-05,3.32615441159795e-05,3.28213677365197e-05,267.650455993179,270.337120813782,271.969570138165,4.65476852954983e-05,4.44536806238592e-05,4.649872848668e-05
"92",5.45550113271776e-05,4.66461692095877e-05,4.74138293123883e-05,267.15932325961,269.819709920819,271.394688232158,6.09909152769999e-05,5.83211683165913e-05,6.26471063593558e-05
"93",5.93552553967289e-05,5.09755486150514e-05,5.25331878480998e-05,266.856307626367,269.513471064787,271.073204209516,6.48036820980082e-05,6.18547237587447e-05,6.85971842074877e-05
"94",5.13849937163437e-05,4.35755961613652e-05,4.43930428692818e-05,268.221853116703,270.863197473887,272.448445053412,6.11550451501905e-05,5.88740557842723e-05,6.34056169904728e-05
"95",5.03959427419638e-05,4.37660525509208e-05,4.51191603059127e-05,266.069945601417,268.762939225442,270.321490653106,5.53245146477931e-05,5.37964497422558e-05,5.72048249337697e-05
"96",4.50322952345437e-05,3.93169885634413e-05,3.99657156710122e-05,266.846214406078,269.530615583665,271.105256824424,5.32079540810726e-05,5.2243218361558e-05,5.52641339806236e-05
"97",4.7178415769617e-05,4.02747782520034e-05,4.13071045033864e-05,267.718920409523,270.35140447634,271.9119638086,5.6854519780832e-05,5.50531246106248e-05,5.9261434921346e-05
"98",4.79895646540308e-05,4.10336155114912e-05,4.1837540217795e-05,268.166507374527,270.790327001918,272.344472004255,5.89225958101242e-05,5.7529223864029e-05,6.2136184418195e-05
"99",4.7373070527142e-05,4.04717977187995e-05,4.14163797191584e-05,266.998367210839,269.670904227614,271.242293887677,5.49049369070692e-05,5.35283032131772e-05,5.71084918891735e-05
"100",1.66755760560021e-05,1.52446223109426e-05,1.42402232733574e-05,270.428767215779,273.086608966963,274.753390264977,3.26574944344444e-05,3.19705127615504e-05,3.5553890471717e-05
"101",2.9321825528348e-05,2.72320529808039e-05,2.76472510901777e-05,268.562449015122,271.203558474479,272.779942204198,4.2208802869821e-05,4.16371558160135e-05,4.33119679662551e-05
"102",2.03331789001065e-05,1.8330435202182e-05,1.7396068332516e-05,270.285338982514,272.89791989193,274.515697837266,3.93194779170206e-05,3.94538890023706e-05,4.12268684243915e-05
"103",2.74428634719627e-05,2.50027607325064e-05,2.47600469825271e-05,269.272863150488,271.897157160496,273.485746728842,4.39745132939179e-05,4.38908166450406e-05,4.59569002802933e-05
"104",2.59275306903824e-05,2.38436295350687e-05,2.35829184088924e-05,269.39422349178,272.014210690645,273.602095354785,4.23451751315957e-05,4.22028625137117e-05,4.40731213844195e-05
"105",3.16712789007022e-05,2.8418088429975e-05,2.8398512400173e-05,266.74015933455,269.465466538941,271.033391078468,3.82975371881448e-05,3.70987099416462e-05,3.9205365502987e-05
"106",2.20855020669107e-05,2.09888039785146e-05,2.08763058763111e-05,269.589258289784,272.194274374917,273.799238567248,3.57986569564494e-05,3.57613611679451e-05,3.68556267891789e-05
"107",2.36403960076025e-05,2.1428490171053e-05,2.07665589133277e-05,268.747951279814,271.431701849345,273.023066471688,3.54932977679184e-05,3.53663798171651e-05,3.69767689431537e-05
"108",1.74209078314016e-05,1.66436701131299e-05,1.59948842929661e-05,270.625630093103,273.224040518221,274.859618571047,3.26221425746223e-05,3.32318257910231e-05,3.43272307026048e-05
"109",1.72665438865382e-05,1.61412286462661e-05,1.52490713680247e-05,270.252305112598,272.909005721434,274.516506697337,3.24642552758268e-05,3.33161167469681e-05,3.39772706798829e-05
"110",2.04428573501033e-05,1.95879357559372e-05,1.82113437876663e-05,270.216797730049,272.838574056848,274.433291125895,3.58070171442163e-05,3.7092524219398e-05,3.79642486970948e-05
"111",1.79433517144822e-05,1.72411891365313e-05,1.58995234046688e-05,270.871914565575,273.483122492651,275.079527557368,3.45401921801398e-05,3.58518458678478e-05,3.66591914413441e-05
"112",2.02809863720464e-05,1.95579898520153e-05,1.81203682949912e-05,270.730751127764,273.333044301168,274.924356849448,3.72178079479341e-05,3.85967543815296e-05,3.96161395012375e-05
"113",1.59331507905396e-05,1.54192812338244e-05,1.4429039437491e-05,270.704990289643,273.287891076443,274.86349708928,3.35275731252708e-05,3.43151156838537e-05,3.49273257259792e-05
"114",1.67053299021421e-05,1.62553522658533e-05,1.53394911466945e-05,270.694460030421,273.276237692634,274.843483144327,3.45672067896588e-05,3.56459632421679e-05,3.62418128843757e-05
"115",1.67864521078055e-05,1.6030842478537e-05,1.53241215486e-05,270.602554724213,273.188018918733,274.803021491709,3.35924409567955e-05,3.3834475090437e-05,3.48673203864166e-05
"116",1.56293169150038e-05,1.47338424721659e-05,1.33677952169434e-05,273.182098762325,275.739546777815,277.348134631713,3.46473543747507e-05,3.60605460939704e-05,3.68707713009478e-05
