"","lakenames","bmodel1","bmodel2"
"290","SW3-5928",0.160952615411437,0.66067568170187
"291","SW3-5932",0.237705167931576,0.913355459429681
"292","SW3-5933",0.429168710317064,1.00186459289433
"293","SW3-5937",0.378032142089806,1.31167293821865
"294","SW3-5938",0.171279474749759,0.70482011468675
"295","SW3-5940",0.476167940717493,1.26440828425406
"296","SW3-5941",0.202686219763411,1.46737540337179
"297","SW3-5942",0.390063812571419,1.07140965658325
"298","SW3-5943",0.423616799561954,0.502461875885448
"299","SW3-5949",0.90538231612885,2.0044641874103
"300","SW3-5950",0.790660747591855,2.17411646911186
"301","SW3-5952",0.473492984049918,0.949754464183875
"302","SW3-5953",1.36397879922475,4.00534583225983
"303","SW3-5956",0.497199190989755,1.55483848881328
"304","SW3-5957",0.555744678568666,0.832434154218905
"305","SW3-5964",0.780552148848303,1.72067744844981
"306","SW3-5968",0.615323917006372,1.27479410856939
"307","SW3-5970",0.783749502077436,1.09395203827976
"308","SW3-5971",NA,NA
"309","SW3-5972",0.364566042002051,0.731681744663604
"310","SW3-5973",0.527197746775877,0.941787687680715
"311","SW3-5975",0.692735050380795,1.71201038423
"312","SW3-5976",0.740919172722588,1.59783205413231
"313","SW3-5977",0.351861360894509,1.18788824310238
"314","SW3-5978",0.498833781021693,1.52147115153054
"315","SW3-5979",0.545573534795993,0.672672127148677
"316","SW3-5980",0.235756811512309,0.646806693057692
"317","SW3-5981",NA,NA
"318","SW3-5982",0.291969551622425,1.22315861355552
"319","SW3-5983",0.546166169297008,1.33669485738009
"320","SW3-5984",0.825964464917137,1.60199345395055
"321","SW3-5985",0.231277781827354,1.01391838656135
"322","SW3-5988",0.392163748144939,0.528749045587157
"323","SW3-5989",0.486242359284517,1.49263444701897
"324","SW3-5990",0.202511853792492,0.396300149149476
"325","SW3-5991",0.618776819010802,1.30622902095173
"326","SW3-5992",0.381946231049998,0.892734318702531
"327","SW3-5993",0.725834812673261,1.57316224813988
"328","SW3-5994",0.640250898849281,1.67269237635404
"329","SW3-5995",0.265315665609951,0.809011101649651
"330","SW3-5997",0.420953352631062,1.25370685155252
"331","SW3-5998",0.381002672641945,0.831014784711231
"332","SW3-6000",0.759927491884233,1.75796519920178
"333","SW3-6001",1.0226819721607,1.53076449687129
"334","SW3-6002",0.404721173987337,1.01033646920184
"335","SW3-6003",0.741820714624035,1.19159205773344
"336","SW3-6004",0.682230204230215,1.83539865342929
"337","SW3-6005",0.418864124588234,1.53390176268873
"338","SW3-6008",0.769800573137841,2.2879084273786
"339","SW3-6025",0.853394930807506,2.00288863544101
