"lakeid","d1","d2","dm","area","fractionalarea","cumsumarea","cumsumfraction","intervals.string","oneminusZdmdivZmaxdm"
"SW1-0335",6,7.9,6.95,33427.0451790409,0.0281591340174863,33427.0451790409,0.0281591340174863,"6-7.9",0
"SW1-0336",0,2,1,169277.268044878,0.185678200896958,911670.121894483,1,"0-2",0.971428571428571
"SW1-0336",2,4,3,2165.24166748136,0.00237502756258142,742392.853849606,0.814321799103042,"2-4",0.914285714285714
"SW1-0336",2,6,4,150069.167716011,0.164609066494536,740227.612182124,0.811946771540461,"2-6",0.885714285714286
"SW1-0336",6,10,8,147641.554715449,0.161946246969951,590158.444466114,0.647337705045925,"6-10",0.771428571428571
"SW1-0336",10,14,12,109985.150142887,0.120641389359491,442516.889750664,0.485391458075974,"10-14",0.657142857142857
"SW1-0336",14,18,16,115851.867763993,0.127076521410232,332531.739607777,0.364750068716483,"14-18",0.542857142857143
"SW1-0336",18,22,20,57301.7794478583,0.0628536332075719,216679.871843784,0.237673547306251,"18-22",0.428571428571429
"SW1-0336",22,26,24,78397.4002438287,0.0859931661256114,159378.092395926,0.174819914098679,"22-26",0.314285714285714
"SW1-0336",26,30,28,46777.028330333,0.0513091601961559,80980.6921520971,0.0888267479730676,"26-30",0.2
"SW1-0336",30,34,32,30868.5995349901,0.0338593958424831,34203.6638217641,0.0375175877769117,"30-34",0.0857142857142857
"SW1-0336",34,36,35,3335.06428677399,0.00365819193442865,3335.06428677399,0.00365819193442865,"34-36",0
"SW1-0338",0,2,1,21958.080515628,0.195718431810526,112192.195249579,1,"0-2",0.951807228915663
"SW1-0338",2,4,3,14873.1011221052,0.13256805510418,90234.1147339513,0.804281568189474,"2-4",0.855421686746988
"SW1-0338",4,6,5,17791.0767854884,0.158576777519247,75361.0136118461,0.671713513085293,"4-6",0.759036144578313
"SW1-0338",6,8,7,20182.2578045555,0.179890033880331,57569.9368263577,0.513136735566047,"6-8",0.662650602409639
"SW1-0338",8,10,9,14068.3953274439,0.125395490266928,37387.6790218022,0.333246701685716,"8-10",0.566265060240964
"SW1-0338",10,12,11,6805.41282174583,0.0606585226949764,23319.2836943583,0.207851211418788,"10-12",0.469879518072289
"SW1-0338",12,14,13,4665.21259377578,0.0415823273927183,16513.8708726124,0.147192688723812,"12-14",0.373493975903614
"SW1-0338",14,16,15,2425.10718281934,0.0216156496218344,11848.6582788367,0.105610361331093,"14-16",0.27710843373494
